ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
5thLRG1,0,1,1,1,1,1,1,1,1,1,1
5thLRG10,0,1,1,1,1,1,1,1,1,1,1
5thLRG13,0,1,1,1,1,1,1,1,1,1,1
5thLRG14,0,1,0,0,0,1,0,0,0,0,0
5thLRG15,0,1,1,1,1,1,1,1,1,1,1
5thLRG16,0,1,1,1,1,1,1,1,1,1,1
5thLRG18,0,1,1,1,1,1,1,1,1,1,1
5thLRG19,0,1,1,1,1,1,1,1,1,1,1
5thLRG2,0,1,1,1,1,1,0,0,0,0,0
5thLRG20,0,1,1,1,1,1,1,1,1,1,1
5thLRG21,0,1,1,1,1,1,1,1,1,1,1
5thLRG22,0,1,1,1,1,1,1,1,1,1,1
5thLRG23,0,1,1,1,1,1,1,1,1,1,1
5thLRG24,0,1,1,1,1,1,1,1,1,1,0
5thLRG25,0,1,1,1,1,1,1,1,1,1,1
5thLRG26,0,1,1,1,1,1,1,1,1,1,0
5thLRG27,0,1,1,1,1,1,1,1,1,1,1
5thLRG28,0,1,1,1,1,1,1,1,1,1,1
5thLRG29,0,1,1,1,1,1,1,1,1,1,1
5thLRG3,0,1,1,1,1,1,1,1,1,1,1
5thLRG30,0,1,1,1,1,1,1,1,1,1,1
5thLRG31,0,1,1,1,1,1,1,1,1,1,1
5thLRG4,0,1,1,1,1,1,1,1,1,1,1
5thLRG6,0,1,1,1,1,1,1,1,1,1,1
5thLRG8,0,1,1,1,1,1,1,1,1,1,1
5thLRG9,0,1,1,1,1,1,1,1,1,1,1
